Source,Target,,
DevitaNSPoetri_,AzzahrahSyifa_ ,,
DevitaNSPoetri_,persib ,,
ilyas_rw,AzzahrahSyifa_ ,,
nyankobugsyyy,ekowBoy ,,
DevitaNSPoetri_,ekowBoy ,,
D_tyow,persib ,,
DevitaNSPoetri_,persib ,,
DevitaNSPoetri_,ThaiFootballs ,,
dsudr,tribunjabar ,,
VIVAcoid,ThaiFootballs ,,
AMuzadi,Gilang_Mahesa ,,
AMuzadi,persib ,,
maungleungsir33,IndosiarID ,,
DevitaNSPoetri_,Bolalob ,,
dedenotto,bonekcasuals ,,
dedenotto,persib ,,
edoeycs,persib ,,
arbywidiyanto1,ThaiFootballs ,,
AndiTirta33,ThaiFootballs ,,
DevitaNSPoetri_,VikingUinJkt ,,
DevitaNSPoetri_,VikingUinJkt ,,
MayaAnggita14,AzzahrahSyifa_ ,,
siiyappp,AzzahrahSyifa_ ,,
DevitaNSPoetri_,ekowBoy ,,
DevitaNSPoetri_,ekowBoy ,,
RyanHid89058624,persib ,,
DevitaNSPoetri_,persib ,,
RadietzSadega,ThaiFootballs ,,
DevitaNSPoetri_,tribunjabar ,,
VIVAbola,ThaiFootballs ,,
DevitaNSPoetri_,Gilang_Mahesa ,,
DevitaNSPoetri_,persib ,,
DevitaNSPoetri_,IndosiarID ,,
DevitaNSPoetri_,IndosiarSports ,,
DevitaNSPoetri_,Bolalob ,,
DevitaNSPoetri_,bonekcasuals ,,
DevitaNSPoetri_,persib ,,
F__Hasan,persib ,,
Ahmadolshop1933,ThaiFootballs ,,
DevitaNSPoetri_,ThaiFootballs ,,
DevitaNSPoetri_,VikingUinJkt ,,
BayuAprilida15,VikingUinJkt ,,
DevitaNSPoetri_,AzzahrahSyifa_ ,,
DevitaNSPoetri_,persib ,,
DevitaNSPoetri_,AzzahrahSyifa_ ,,
iponksatria,ekowBoy ,,
BayuAprilida15,ekowBoy ,,
DevitaNSPoetri_,persib ,,
AndriyHilman,persib ,,
CBBBL,ThaiFootballs ,,
TiPersib,tribunjabar ,,
FANASMASH,ThaiFootballs ,,
infogoalkeeper5,Gilang_Mahesa ,,
arifinonboard,IndosiarID ,,
arifinonboard,IndosiarSports ,,
ginanjar28_,Bolalob ,,
MayaAnggita14,bonekcasuals ,,
pipincolony,persib ,,
mulyanajirul,ThaiFootballs ,,
Jazuli_AM,ThaiFootballs ,,
infogoalkeeper5,VikingUinJkt ,,
maungleungsir33,VikingUinJkt ,,
poetsoen_tea,AzzahrahSyifa_ ,,
poetsoen_tea,persib ,,
dedenotto,AzzahrahSyifa_ ,,
JasaFotoLiburan,ekowBoy ,,
Ahmadolshop1933,ekowBoy ,,
akun_endog,persib ,,
zakimerdeka,persib ,,
np_aditya,ThaiFootballs ,,
Arianpermana3,tribunjabar ,,
NovrizalFauzi,ThaiFootballs ,,
np_aditya,Gilang_Mahesa ,,
np_aditya,persib ,,
febb98_,IndosiarID ,,
febb98_,IndosiarSports ,,
Ohameyye3,Bolalob ,,
Ahmadolshop1933,bonekcasuals ,,
s03bro,persib ,,
Beulell1,ThaiFootballs ,,
np_aditya,ThaiFootballs ,,
Arynugraha__,VikingUinJkt ,,
np_aditya,VikingUinJkt ,,
AhmadSahid48,AzzahrahSyifa_ ,,
akun_endog,AzzahrahSyifa_ ,,
Ahmadolshop1933,ekowBoy ,,
tribuntimur,ekowBoy ,,
DevitaNSPoetri_,persib ,,
Favian_RF,persib ,,
thereal_iwe,ThaiFootballs ,,
BayuAprilida15,tribunjabar ,,
Kania_Sari27,ThaiFootballs ,,
madzbintang_182,Gilang_Mahesa ,,
Barisan1933,IndosiarID ,,
kabarfaktual999,Bolalob ,,
w_abdharis,bonekcasuals ,,
w_abdharis,persib ,,
Damar98cempor,persib ,,
AdiBayou11,ThaiFootballs ,,
doyanmusik,ThaiFootballs ,,
Nandang_RM,VikingUinJkt ,,
_cibomnord_,VikingUinJkt ,,
Rullyazlam20,AzzahrahSyifa_ ,,
Ebhoy11,AzzahrahSyifa_ ,,
BayuAprilida15,ekowBoy ,,
_McHamzah,ekowBoy ,,
rzless,persib ,,
Rafaelputra2015,persib ,,
Rafaelputra2015,ThaiFootballs ,,
gamalputumangg2,tribunjabar ,,
TribunWow,ThaiFootballs ,,
opicxyz,Gilang_Mahesa ,,
opicxyz,persib ,,
mbnichsan9,IndosiarID ,,
juliogea7,Bolalob ,,
mpunghandanovic,bonekcasuals ,,
mpunghandanovic,persib ,,
vikingcimahifc,persib ,,
walizagat1,ThaiFootballs ,,
zonabogorupdate,ThaiFootballs ,,
ario33clothing,VikingUinJkt ,,
firhanwicaksana,VikingUinJkt ,,
_cibomnord_,AzzahrahSyifa_ ,,
_cibomnord_,persib ,,
kartawiharja,AzzahrahSyifa_ ,,
Dhyz10,ekowBoy ,,
GHerdianhidayat,ekowBoy ,,
adi_yuwana,persib ,,
ccusnadi78,persib ,,
jhandre4n,ThaiFootballs ,,
HernandezTiz,tribunjabar ,,
chonburi_fc,ThaiFootballs ,,
Fahrulf33,Gilang_Mahesa ,,
andy_vicious,IndosiarID ,,
andy_vicious,IndosiarSports ,,
Indra_VCT,Bolalob ,,
akun_endog,bonekcasuals ,,
akun_endog,persib ,,
SbktiAdiwikarta,persib ,,
andhy_andi,ThaiFootballs ,,
denisasa_,ThaiFootballs ,,
3___Roet,VikingUinJkt ,,
juna_jundi,VikingUinJkt ,,
ernawlstr,AzzahrahSyifa_ ,,
ernawlstr,persib ,,
Auus17,AzzahrahSyifa_ ,,
Sahlanlistanto1,ekowBoy ,,
abumdrdsta1,ekowBoy ,,
viking_manpacet,persib ,,
Bodorkeun,persib ,,
AdamMahendraLFC,ThaiFootballs ,,
azzam48web,tribunjabar ,,
Emon53400053,ThaiFootballs ,,
FikFirdaus9,Gilang_Mahesa ,,
Indra_VCT,IndosiarID ,,
Indra_VCT,IndosiarSports ,,
Tanddo_,Bolalob ,,
VitaLearns,bonekcasuals ,,
VitaLearns,persib ,,
Zx08Akmal,persib ,,
ladies_Wani,ThaiFootballs ,,
zahwanfz,ThaiFootballs ,,
dinayu12,VikingUinJkt ,,
MaungFootball,VikingUinJkt ,,
Nira_azwa,AzzahrahSyifa_ ,,
Nira_azwa,persib ,,
zahwanfz,AzzahrahSyifa_ ,,
Olala40790276,ekowBoy ,,
bolacomID,ekowBoy ,,
herry_van33,persib ,,
kreish_mzl,persib ,,
_arghita,ThaiFootballs ,,
wipraghora,tribunjabar ,,
denis_setiaji,ThaiFootballs ,,
playeur_atah,Gilang_Mahesa ,,
playeur_atah,persib ,,
awawwwzz,IndosiarID ,,
awawwwzz,IndosiarSports ,,
SimaSiliwangi33,Bolalob ,,
gilang_ool,bonekcasuals ,,
gilang_ool,persib ,,
erisembe,persib ,,
ardyaanto,ThaiFootballs ,,
yogikusuma1933,ThaiFootballs ,,
SamsulH347,VikingUinJkt ,,
Cimahifootball,VikingUinJkt ,,
ilhamturen,AzzahrahSyifa_ ,,
ilhamturen,persib ,,
rofii53142016,AzzahrahSyifa_ ,,
Indra_rezpect44,ekowBoy ,,
DendiSuryadi11,ekowBoy ,,
BayuAprilida15,persib ,,
cocotefreestyle,persib ,,
Tam_Finally,ThaiFootballs ,,
AtmokoWa,tribunjabar ,,
Viking_cpd,ThaiFootballs ,,
_Hollandflorist,Gilang_Mahesa ,,
_Hollandflorist,persib ,,
EdanBolaRCBFM,IndosiarID ,,
EdanBolaRCBFM,IndosiarSports ,,
_Hollandflorist,Bolalob ,,
BayuAprilida15,bonekcasuals ,,
Iws36,persib ,,
Erpan_id,ThaiFootballs ,,
Paul33Addict,ThaiFootballs ,,
Paul33Addict,VikingUinJkt ,,
indraqborne,VikingUinJkt ,,
Elisnina3,AzzahrahSyifa_ ,,
FauziRefki,AzzahrahSyifa_ ,,
doelMisdi,ekowBoy ,,
magabenz33,ekowBoy ,,
SamsulH347,persib ,,
yogikusuma1933,persib ,,
engkusk65309072,ThaiFootballs ,,
BousAgung,tribunjabar ,,
BJBB1933,ThaiFootballs ,,
GianVialli,Gilang_Mahesa ,,
GianVialli,persib ,,
yogikusuma1933,IndosiarID ,,
yogikusuma1933,IndosiarSports ,,
zalcahyor,Bolalob ,,
kikiabdulaziz,bonekcasuals ,,
